# Gene Family	demo_Abundance-CPM
UniRef90_A0A174M183|g__Bacteroides.s__Bacteroides_vulgatus	276.749
UniRef90_A0A396BH28	276.45
UniRef90_A0A396BH28|g__Bacteroides.s__Bacteroides_vulgatus	276.45
UniRef90_A0A0P0L8N9	276.297
UniRef90_A0A0P0L8N9|g__Bacteroides.s__Bacteroides_vulgatus	276.297
UniRef90_C3RE72	275.663
UniRef90_C3RE72|g__Bacteroides.s__Bacteroides_vulgatus	275.663
UniRef90_A0A3E5EDG4	275.317
UniRef90_A0A3E5EDG4|g__Bacteroides.s__Bacteroides_vulgatus	275.317
UniRef90_A0A076IYC1	275.278
UniRef90_A0A076IYC1|g__Bacteroides.s__Bacteroides_vulgatus	275.278
UniRef90_A6L1P5	273.893
UniRef90_A6L1P5|g__Bacteroides.s__Bacteroides_vulgatus	273.893
UniRef90_A0A081TW72	270.288
UniRef90_A0A081TW72|g__Bacteroides.s__Bacteroides_vulgatus	270.288
UniRef90_A6L1V8	269.875
UniRef90_A6L1V8|g__Bacteroides.s__Bacteroides_vulgatus	269.875
UniRef90_A0A076INP4	268.787
UniRef90_A0A076INP4|g__Bacteroides.s__Bacteroides_vulgatus	268.787
UniRef90_A6L089	267.954
UniRef90_A6L089|g__Bacteroides.s__Bacteroides_vulgatus	267.954
UniRef90_A0A0K2HHR9	267.742
UniRef90_A0A0K2HHR9|g__Bacteroides.s__Bacteroides_vulgatus	267.742
UniRef90_A0A015W6F0	266.463
UniRef90_A0A015W6F0|g__Bacteroides.s__Bacteroides_vulgatus	266.463
UniRef90_C3R9E8	265.851
UniRef90_C3R9E8|g__Bacteroides.s__Bacteroides_vulgatus	265.851
UniRef90_B6VSS7	265.2
UniRef90_B6VSS7|g__Bacteroides.s__Bacteroides_vulgatus	265.2
UniRef90_A6L1Z3	264.798
UniRef90_A6L1Z3|g__Bacteroides.s__Bacteroides_vulgatus	264.798
UniRef90_A6KZN7	262.491
UniRef90_A6KZN7|g__Bacteroides.s__Bacteroides_vulgatus	262.491
UniRef90_A0A0M1VY16	262.326
UniRef90_A0A0M1VY16|g__Bacteroides.s__Bacteroides_vulgatus	262.326
UniRef90_A0A015UTA3	262.147
UniRef90_A0A015UTA3|g__Bacteroides.s__Bacteroides_vulgatus	262.147
UniRef90_D4V881	262.123
UniRef90_D4V881|g__Bacteroides.s__Bacteroides_vulgatus	262.123
UniRef90_A0A396FHA9	261.6
UniRef90_A0A396FHA9|g__Bacteroides.s__Bacteroides_vulgatus	261.6
UniRef90_A6KZH6	260.841
UniRef90_A6KZH6|g__Bacteroides.s__Bacteroides_vulgatus	260.841
UniRef90_A0A1H7IQQ6	260.444
UniRef90_A0A1H7IQQ6|g__Bacteroides.s__Bacteroides_vulgatus	260.444
UniRef90_A0A076IZY4	259.755
UniRef90_A0A076IZY4|g__Bacteroides.s__Bacteroides_vulgatus	259.755
UniRef90_A0A076IXB1	259.373
UniRef90_A0A076IXB1|g__Bacteroides.s__Bacteroides_vulgatus	259.373
UniRef90_C3RDM7	256.983
UniRef90_C3RDM7|g__Bacteroides.s__Bacteroides_vulgatus	256.983
UniRef90_A0A1Q6IDM1	256.837
UniRef90_A0A1Q6IDM1|g__Bacteroides.s__Bacteroides_vulgatus	256.837
UniRef90_I8WIS4	256.279
UniRef90_I8WIS4|g__Bacteroides.s__Bacteroides_vulgatus	256.279
UniRef90_A0A396FBP9	255.656
UniRef90_A0A396FBP9|g__Bacteroides.s__Bacteroides_vulgatus	255.656
UniRef90_A0A076J096	255.539
UniRef90_A0A076J096|g__Bacteroides.s__Bacteroides_vulgatus	255.539
UniRef90_R5VS54	254.659
UniRef90_R5VS54|g__Bacteroides.s__Bacteroides_vulgatus	254.659
UniRef90_A0A3D9A664	254.186
UniRef90_A0A3D9A664|g__Bacteroides.s__Bacteroides_vulgatus	254.186
UniRef90_E5X3T8	253.277
UniRef90_E5X3T8|g__Bacteroides.s__Bacteroides_vulgatus	253.277
UniRef90_A6KXF7	252.713
UniRef90_A6KXF7|g__Bacteroides.s__Bacteroides_vulgatus	252.713
UniRef90_A0A076J5B8	252.653
UniRef90_A0A076J5B8|g__Bacteroides.s__Bacteroides_vulgatus	252.653
UniRef90_A6KWM1	252.208
UniRef90_A6KWM1|g__Bacteroides.s__Bacteroides_vulgatus	252.208
UniRef90_F7LTM1	251.006
UniRef90_F7LTM1|g__Bacteroides.s__Bacteroides_vulgatus	251.006
UniRef90_S0F674	250.056
UniRef90_S0F674|g__Bacteroides.s__Bacteroides_vulgatus	250.056
UniRef90_A0A0P0M6J9	248.397
